Size,MatrixInterval,MatrixCond,Noise,Iter,r1,rel_r2,r2,Ue,SError,Ve,Time_ms,Trials
4x3,[0;10],4.34238,0.001,1,0.000185977,5.61746e-06,6.34561e-05,7.9572e-05,1.97422e-05,7.83737e-05,0.023,1
4x3,[0;10],4.34238,0.001,5,4.24873e-15,1.44894e-16,1.63676e-15,3.92234e-15,8.76562e-16,3.90368e-15,0.0191,1
4x3,[0;10],4.34238,0.001,10,3.68034e-15,1.06369e-16,1.20157e-15,1.19725e-16,1.14326e-15,1.49643e-16,0.0141,1
4x3,[0;10],4.34238,0.001,50,3.53596e-15,1.16676e-16,1.318e-15,2.17196e-15,8.42161e-16,2.13667e-15,0.0559,1
4x3,[0;10],4.34238,1e-15,1,7.50454e-15,2.32524e-16,2.62664e-15,4.03013e-15,1.67505e-15,4.02781e-15,0.0019,1
4x3,[0;10],4.34238,1e-15,5,4.69918e-15,1.48217e-16,1.67429e-15,1.04808e-15,8.18384e-16,1.0069e-15,0.0063,1
4x3,[0;10],4.34238,1e-15,10,3.49535e-15,1.05138e-16,1.18766e-15,2.59829e-15,4.24024e-16,2.62254e-15,0.0139,1
4x3,[0;10],4.34238,1e-15,50,4.26326e-15,1.54934e-16,1.75017e-15,2.39314e-15,4.24024e-16,2.43563e-15,0.0558,1
4x3,[0;10],4.34238,1e-18,1,4.10766e-15,1.30243e-16,1.47125e-15,1.4957e-15,8.18384e-16,1.39601e-15,0.0018,1
4x3,[0;10],4.34238,1e-18,5,6.49518e-15,2.30605e-16,2.60497e-15,3.54781e-15,1.66641e-15,3.53119e-15,0.0063,1
4x3,[0;10],4.34238,1e-18,10,4.01996e-15,1.45464e-16,1.6432e-15,4.60773e-16,1.14326e-15,4.52906e-16,0.0168,1
4x3,[0;10],4.34238,1e-18,50,3.78144e-15,1.26354e-16,1.42732e-15,1.8867e-15,8.76562e-16,1.87408e-15,0.071,1
4x3,[0;10],4.34238,1e-33,1,4.17555e-15,1.35166e-16,1.52687e-15,1.49016e-15,8.18384e-16,1.39601e-15,0.002,1
4x3,[0;10],4.34238,1e-33,5,3.65319e-15,1.105e-16,1.24823e-15,9.9183e-16,5.97802e-16,1.02568e-15,0.0063,1
4x3,[0;10],4.34238,1e-33,10,8.58023e-15,2.80288e-16,3.1662e-15,5.62573e-15,1.4659e-15,5.66373e-15,0.0119,1
4x3,[0;10],4.34238,1e-33,50,9.36653e-15,3.15352e-16,3.56229e-15,4.44658e-15,2.69692e-15,4.44106e-15,0.0564,1
4x3,[0;100],4.34238,0.001,1,0.000892679,2.68882e-06,0.000303735,6.20246e-06,0.00010503,4.44236e-06,0.0018,1
4x3,[0;100],4.34238,0.001,5,6.18446e-14,2.65755e-16,3.00203e-14,3.00328e-15,1.83182e-14,2.85457e-15,0.0065,1
4x3,[0;100],4.34238,0.001,10,4.20133e-14,1.37263e-16,1.55056e-14,1.57813e-15,8.04867e-15,1.54738e-15,0.0119,1
4x3,[0;100],4.34238,0.001,50,4.2872e-14,1.36278e-16,1.53943e-14,3.29616e-15,8.04867e-15,3.26956e-15,0.0564,1
4x3,[0;100],4.34238,1e-15,1,7.59132e-14,2.17224e-16,2.45381e-14,2.16711e-15,1.51478e-14,2.0625e-15,0.0018,1
4x3,[0;100],4.34238,1e-15,5,4.6135e-14,1.4482e-16,1.63592e-14,2.3585e-15,1.4832e-14,2.42793e-15,0.0063,1
4x3,[0;100],4.34238,1e-15,10,4.58748e-14,1.51311e-16,1.70924e-14,1.01802e-15,1.42903e-14,9.70781e-16,0.012,1
4x3,[0;100],4.34238,1e-15,50,7.43607e-14,2.21436e-16,2.50139e-14,3.20518e-15,7.43738e-15,3.21919e-15,0.0582,1
4x3,[0;100],4.34238,1e-18,1,5.97838e-14,1.78052e-16,2.01132e-14,6.02232e-15,7.11207e-15,5.93476e-15,0.0018,1
4x3,[0;100],4.34238,1e-18,5,7.71536e-14,2.51805e-16,2.84445e-14,5.84727e-16,2.12072e-14,5.2433e-16,0.0064,1
