Size,Interval,CondNum,NoiseLevel,Iter,Rec_l1,Rec_l2,Time_ms,U_err,S_err,V_err
3x3,[0;1],1.37011,1e-20,1,1.49078e-19,6.21055e-20,0.1945,3.62134e-19,6.06087e-20,3.53407e-19
3x3,[0;1],1.37011,1e-20,5,3.11708e-19,1.2641e-19,0.7107,4.16616e-19,7.66647e-20,4.29478e-19
3x3,[0;1],1.37011,1e-20,10,3.79471e-19,1.52127e-19,1.2842,4.96289e-19,1.11757e-19,4.89394e-19
3x3,[0;1],1.37011,1e-20,20,2.43945e-19,9.58308e-20,2.2189,4.48054e-19,6.06087e-20,4.27066e-19
3x3,[0;1],1.37011,1e-20,30,1.89735e-19,8.13152e-20,3.5028,6.47833e-19,7.66647e-20,6.08516e-19
3x3,[0;1],1.37011,1e-20,50,1.76183e-19,7.78533e-20,5.2143,3.53666e-19,6.06087e-20,3.7753e-19
3x3,[0;1],1.37011,1e-20,100,1.35525e-19,6.3567e-20,12.8701,2.90669e-19,8.13152e-20,2.73601e-19

3x3,[0;1],1.37011,1e-15,1,6.77626e-20,3.58566e-20,0.1244,3.00991e-19,7.66647e-20,3.15533e-19
3x3,[0;1],1.37011,1e-15,5,2.57498e-19,1.04099e-19,0.5509,5.79757e-19,7.66647e-20,6.18833e-19
3x3,[0;1],1.37011,1e-15,10,2.43945e-19,1.06713e-19,1.0775,5.19656e-19,6.06087e-20,4.94354e-19
3x3,[0;1],1.37011,1e-15,20,2.43945e-19,9.19177e-20,2.1786,6.32229e-19,6.06087e-20,6.30593e-19
3x3,[0;1],1.37011,1e-15,30,1.35525e-19,6.91046e-20,3.9423,3.16387e-19,7.66647e-20,3.32123e-19
3x3,[0;1],1.37011,1e-15,50,2.43945e-19,1.03213e-19,6.0389,3.10527e-19,6.06087e-20,3.09119e-19
3x3,[0;1],1.37011,1e-15,100,2.57498e-19,1.18923e-19,12.1225,3.29259e-19,0,3.18719e-19

3x3,[0;1],1.37011,1e-10,1,2.43945e-19,9.58308e-20,0.1655,2.75753e-19,8.57137e-20,3.22994e-19
3x3,[0;1],1.37011,1e-10,5,2.43945e-19,9.19177e-20,0.7046,8.42222e-19,5.42101e-20,9.01039e-19
3x3,[0;1],1.37011,1e-10,10,2.03288e-19,9.09131e-20,1.1067,3.25895e-19,6.06087e-20,3.23278e-19
3x3,[0;1],1.37011,1e-10,20,3.25261e-19,1.27134e-19,2.1876,4.11292e-19,7.66647e-20,3.63036e-19
3x3,[0;1],1.37011,1e-10,30,2.30393e-19,8.24368e-20,3.258,4.85674e-19,7.66647e-20,4.6712e-19
3x3,[0;1],1.37011,1e-10,50,1.35525e-19,6.91046e-20,6.1924,5.33564e-19,6.06087e-20,5.08367e-19
3x3,[0;1],1.37011,1e-10,100,1.49078e-19,8.24368e-20,14.1578,4.8869e-19,5.42101e-20,5.0277e-19

3x3,[0;1],1.37011,1e-05,1,6.84137e-10,2.75768e-10,0.2237,4.94777e-10,5.00629e-11,5.79038e-10
3x3,[0;1],1.37011,1e-05,5,2.84603e-19,1.14196e-19,0.9311,5.21772e-19,6.06087e-20,4.71036e-19
3x3,[0;1],1.37011,1e-05,10,9.48677e-20,4.88643e-20,1.3361,4.17772e-19,7.66647e-20,3.87982e-19
3x3,[0;1],1.37011,1e-05,20,2.43945e-19,9.95903e-20,3.735,4.39779e-19,5.42101e-20,4.69486e-19
3x3,[0;1],1.37011,1e-05,30,1.76183e-19,7.78533e-20,3.2639,4.51322e-19,8.13152e-20,4.66333e-19
3x3,[0;1],1.37011,1e-05,50,2.98156e-19,1.36874e-19,6.5115,5.24362e-19,5.42101e-20,5.60795e-19
3x3,[0;1],1.37011,1e-05,100,2.03288e-19,7.78533e-20,14.4046,7.63556e-19,9.38947e-20,7.3634e-19

3x3,[0;10],3.77925,1e-20,1,2.71051e-18,1.23142e-18,0.1486,6.86379e-19,1.24565e-18,7.29354e-19
3x3,[0;10],3.77925,1e-20,5,2.1684e-18,9.19976e-19,0.708,7.05383e-19,1.37142e-18,7.53233e-19
3x3,[0;10],3.77925,1e-20,10,1.78893e-18,8.13152e-19,1.3826,5.56809e-19,9.6974e-19,6.64799e-19
3x3,[0;10],3.77925,1e-20,20,2.27682e-18,9.26343e-19,2.6211,6.92904e-19,6.13317e-19,7.69546e-19
3x3,[0;10],3.77925,1e-20,30,2.27682e-18,9.26343e-19,3.6019,8.6916e-19,9.6974e-19,9.25078e-19
3x3,[0;10],3.77925,1e-20,50,2.05998e-18,9.00606e-19,5.761,7.00156e-19,1.37142e-18,7.50729e-19
3x3,[0;10],3.77925,1e-20,100,2.1684e-18,8.67362e-19,10.8624,2.49896e-19,1.0623e-18,3.68045e-19

3x3,[0;10],3.77925,1e-15,1,2.05998e-18,9.51384e-19,0.1705,7.91403e-19,9.93688e-19,8.46708e-19
3x3,[0;10],3.77925,1e-15,5,1.89735e-18,8.82477e-19,0.7167,3.56511e-19,9.6974e-19,4.58037e-19
3x3,[0;10],3.77925,1e-15,10,1.95156e-18,8.39819e-19,1.6088,4.8183e-19,1.0623e-18,5.69569e-19
3x3,[0;10],3.77925,1e-15,20,1.73472e-18,1.01707e-18,2.2009,5.95849e-19,1.37142e-18,6.35959e-19
3x3,[0;10],3.77925,1e-15,30,2.81893e-18,1.28285e-18,3.2892,4.59189e-19,6.50521e-19,5.91557e-19
3x3,[0;10],3.77925,1e-15,50,1.13841e-18,6.52776e-19,6.7842,7.54208e-19,6.13317e-19,8.64445e-19
3x3,[0;10],3.77925,1e-15,100,2.1684e-18,1.14741e-18,11.0796,5.57469e-19,9.6974e-19,6.68656e-19

3x3,[0;10],3.77925,1e-10,1,2.27682e-18,9.26343e-19,0.1305,4.04084e-19,9.93688e-19,4.75354e-19
3x3,[0;10],3.77925,1e-10,5,2.1684e-18,8.67362e-19,0.9568,2.49896e-19,1.0623e-18,3.82424e-19
3x3,[0;10],3.77925,1e-10,10,3.95734e-18,1.47168e-18,1.1931,5.57469e-19,7.51157e-19,6.60399e-19
3x3,[0;10],3.77925,1e-10,20,2.05998e-18,8.46789e-19,3.1303,4.57787e-19,7.51157e-19,5.47579e-19
3x3,[0;10],3.77925,1e-10,30,2.05998e-18,9.00606e-19,4.8287,6.7191e-19,9.6974e-19,7.44834e-19
3x3,[0;10],3.77925,1e-10,50,7.58942e-19,4.96844e-19,6.6076,7.83824e-19,4.8487e-19,8.2395e-19
3x3,[0;10],3.77925,1e-10,100,2.05998e-18,9.00606e-19,11.8877,7.00156e-19,1.37142e-18,7.50729e-19

3x3,[0;10],3.77925,1e-05,1,1.11112e-08,5.01832e-09,0.1561,1.85858e-09,1.82405e-09,2.04094e-09
3x3,[0;10],3.77925,1e-05,5,2.71051e-18,1.11098e-18,0.5693,7.82064e-19,7.51157e-19,8.3741e-19
3x3,[0;10],3.77925,1e-05,10,1.73472e-18,8.11343e-19,1.1066,4.66333e-19,1.24565e-18,5.44973e-19
3x3,[0;10],3.77925,1e-05,20,1.73472e-18,7.51157e-19,2.1952,2.57141e-19,1.0623e-18,3.6573e-19
3x3,[0;10],3.77925,1e-05,30,1.46367e-18,7.04731e-19,3.2659,4.66333e-19,9.6974e-19,5.46068e-19
3x3,[0;10],3.77925,1e-05,50,2.27682e-18,1.11098e-18,6.6886,4.57586e-19,1.43836e-18,5.27374e-19
3x3,[0;10],3.77925,1e-05,100,2.49366e-18,1.04557e-18,11.0316,5.82286e-19,1.0623e-18,6.48577e-19

3x3,[0;100],1.31386,1e-20,1,1.9082e-17,7.56148e-18,0.3535,1.2563e-18,9.81308e-18,1.30021e-18
3x3,[0;100],1.31386,1e-20,5,1.12757e-17,6.07153e-18,0.5713,1.78816e-18,8.49837e-18,1.7772e-18
3x3,[0;100],1.31386,1e-20,10,1.30104e-17,5.55382e-18,1.3762,1.47443e-18,7.75792e-18,1.44881e-18
3x3,[0;100],1.31386,1e-20,20,1.73472e-17,8.49837e-18,2.5297,1.39334e-18,7.75792e-18,1.42245e-18
3x3,[0;100],1.31386,1e-20,30,1.82146e-17,7.80626e-18,3.6814,1.49748e-18,4.90654e-18,1.53702e-18
3x3,[0;100],1.31386,1e-20,50,2.1684e-17,9.54098e-18,8.2437,1.29659e-18,8.49837e-18,1.22426e-18
3x3,[0;100],1.31386,1e-20,100,5.20417e-18,3.00463e-18,11.2497,1.40666e-18,7.75792e-18,1.41948e-18

3x3,[0;100],1.31386,1e-15,1,2.1684e-17,1.01522e-17,0.1404,1.66845e-18,1.09714e-17,1.60929e-18
