Size,Интервал сингулярных значений,Method,Итерации уточнения (Ogita),Rec_l1,Rec_l2,Time_ms,U_err,S_err,V_err
3x3,[0;1],Jacobi,0,1.06726E-18,4.71438E-19,0.0666,2.98848E-19,3.26388E-19,4.54414E-19
3x3,[0;1],Ogita,1,1.49078E-19,7.0421E-20,1.1684,1.38209E-19,5.58785E-20,2.03316E-19
3x3,[0;1],Ogita,5,8.80914E-20,3.89267E-20,5.902,8.67785E-20,5.42101E-20,2.22794E-19
3x3,[0;1],Ogita,10,9.48677E-20,4.17717E-20,11.8324,6.3567E-20,6.21055E-20,2.3787E-19
3x3,[0;1],Ogita,20,1.21973E-19,5.16065E-20,24.2684,5.62879E-20,6.21055E-20,2.18948E-19
3x3,[0;1],Ogita,30,1.42302E-19,6.09864E-20,36.282,6.3567E-20,6.21055E-20,2.17079E-19
3x3,[0;1],Ogita,50,1.15196E-19,5.29243E-20,60.7909,1.30696E-19,6.21055E-20,1.81826E-19
3x3,[0;10],Jacobi,0,1.96512E-18,7.85696E-19,0.074,1.40437E-18,4.96844E-19,1.43647E-18
3x3,[0;10],Ogita,1,7.72494E-19,3.53666E-19,1.5629,8.24479E-19,4.47028E-19,8.74558E-19
3x3,[0;10],Ogita,5,1.35525E-18,4.99793E-19,6.2789,4.86572E-19,5.42101E-19,5.07315E-19
3x3,[0;10],Ogita,10,5.69206E-19,4.47849E-19,12.3871,5.10878E-19,4.8487E-19,6.12118E-19
3x3,[0;10],Ogita,20,7.72494E-19,3.53666E-19,23.2728,1.27459E-18,8.74112E-19,1.30782E-18
3x3,[0;10],Ogita,30,6.50521E-19,3.34174E-19,35.8219,6.65179E-19,9.19976E-19,6.57961E-19
3x3,[0;10],Ogita,50,9.21572E-19,4.87891E-19,60.7031,1.69813E-19,4.8487E-19,2.26067E-19
3x3,[0;100],Jacobi,0,7.45931E-17,3.16557E-17,0.062,2.725E-18,2.50185E-17,2.81385E-18
3x3,[0;100],Ogita,1,1.38778E-17,6.49074E-18,1.1913,2.31097E-18,9.81308E-18,2.2969E-18
3x3,[0;100],Ogita,5,2.42861E-17,1.06936E-17,6.4625,1.899E-18,1.69967E-17,1.84525E-18
3x3,[0;100],Ogita,10,3.29597E-17,1.30969E-17,11.732,2.08462E-18,1.20185E-17,2.08643E-18
3x3,[0;100],Ogita,20,2.94903E-17,1.48215E-17,22.1795,2.16E-18,9.81308E-18,2.15635E-18
3x3,[0;100],Ogita,30,3.81639E-17,1.45137E-17,40.1032,1.50854E-18,1.69967E-17,1.45612E-18
3x3,[0;100],Ogita,50,1.21431E-17,6.25463E-18,56.8606,1.78019E-18,1.20185E-17,1.77762E-18
5x4,[0;1],Jacobi,0,1.4047E-18,3.85834E-19,0.1861,5.14027E-19,2.1514E-19,4.75346E-19
5x4,[0;1],Ogita,1,2.42887E-19,7.71059E-20,4.5506,2.89368E-19,1.21265E-19,3.24151E-19
5x4,[0;1],Ogita,5,3.18802E-19,8.51053E-20,22.2638,2.82865E-19,1.13389E-19,2.26522E-19
5x4,[0;1],Ogita,10,3.07473E-19,8.8518E-20,46.1136,3.29757E-19,1.36874E-19,2.77944E-19
5x4,[0;1],Ogita,20,3.98847E-19,1.03663E-19,110.844,2.82827E-19,9.82558E-20,2.6242E-19
